Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Rędziny,E,12 851,12 851,188,kamiennogórski
1,elatowa,E,24 092,9 085,496,chrzanowski
1,"Bobrowniki-
Blachówka",Z,10 853,"
-",-,tarnogórski
2,Brudzowice,E,93 966,36 478,1 520,będziński
3,Chruszczobród,R,"
64 550",-,-,zawierciański
4,Chruszczobród 2,R,30 831,-,-,zawierciański
5,Chruszczobród I,R,17 444,-,-,zawierciański
6,Gadlin,R,982,-,-,m.Jaworzno
7,Gródek,Z,"
23 034",-,-,m.Jaworzno
8,Jaworzno-CięŜkowice,P,30 697,-,-,m.Jaworzno
9,Ząbkowice Będzińskie I,E,18 663,10 435,898,"m.Dąbrowa
Górnicza"
10,Ząbkowice Będzińskie II,"
P",19 773,-,-,"m.Dąbrowa
Górnicza"
