Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
2,Diablak,R,1 662,-,-,złotoryjski
3,Gozdanin,Z,112,-,-,".
zgorzelecki"
4,Góra Borowa,R,430,-,-,zgorzelecki
5,Góra Kamienista,E,2 621,2 621,300,lwówecki
6,Góra Trupień,E,1 969,1 969,"
180",jaworski
7,Grabiszyce Dolne,R,424,-,-,lubański
8,Gronowskie Wzgórza,E,11 474,9 834,323,zgorzelecki
9,Gronów,R,20 041,-,-,zgorzelecki
10,Jałowiec,Z,-,-,-,lubański
11,Janowiczki,E,2 671,2 430,"
91",strzeliński
12,Jawor-Męcinka,E,116 538,99 775,589,jaworski
13,Józef,Z,1 745,-,-,lubański
14,Kłopotno,E,2 287,1 701,265,lwówecki
15,Kłopotno I –P. 548.1,R,2 616,-,-,lwówecki
16,Kosiska-Janowice,R,tylko pzb.,"
-",-,"jaworski, legnicki"
17,Kostrza Góra,R,1 245,-,-,"legnicki, złotoryjski"
18,Kozia Góra,E,1 974,1 974,145,złotoryjski
19,Krzeniów,E,"
15 552",15 552,1 494,złotoryjski
20,Księginki,Z,4 134,-,-,lubański
21,Księginki I,E,"
8 202",8 202,69,lubański
22,Księginki-Północ,E,19 891,16 232,377,lubański
23,Lądek-Orłowice,Z,113,-,-,kłodzki
24,Leśna-Brzozy,E,2 536,6 665,398,lubański
25,Liściasta Góra,R,"
18 780",-,-,lubański
26,Lubień,E,7 900,3 952,506,legnicki
27,Lutynia,E,2 192,2 192,67,kłodzki
28,Męcinka I,E,8 750,8 750,172,jaworski
29,Mikołajowice,E,2 880,2 339,1,legnicki
30,Miłoszów,"
Z",4 779,-,-,lubański
31,Mszana-Obłoga,R,67 822,-,-,jaworski
32,Owczarek,R,2 700,-,-,jaworski
33,"
Paszowice",R,8 500,-,-,jaworski
34,Prusice Górne,Z,467,-,-,złotoryjski
35,Radomierzyce,Z,102,-,-,zgorzelecki
36,Radzimów,Z,292,-,-,zgorzelecki
37,"
Rębiszów",E,726,523,122,lwówecki
38,Sichów,P,11 193,-,-,jaworski
39,Sulików,E,49 869,49 869,1 074,zgorzelecki
40,Targowica,E,31 062,13 820,376,"strzeliński,
ząbkowicki"
41,Targowica-Wschód,R,16 516,-,-,ząbkowicki
42,Tylice,Z,1 738,-,-,zgorzelecki
43,"
Uniegoszcz (zarej.)",Z,20,-,-,lubański
44,Wilcza Góra,E,2 663,2 663,202,złotoryjski
46,Wojciechów,E,2 624,2 624,60,lwówecki
47,Wojtek (Markocice),R,188,-,-,".
zgorzelecki"
1,Ameryka,R,2 454,-,-,opolski
2,Gracze,E,6 571,1 652,"
453",opolski
3,Ligota Tułowicka,E,4 763,2 588,99,opolski
4,Rutki,E,11 159,5 473,249,opolski
1,Braszowice3,E,98 455,98 455,1 379,ząbkowicki
2,Dębówka3,T,184 300,182 883,-,kłodzki
3,Sady I2,R,17 867,-,-,jaworski
4,Słupiec-Dębówka3,E,183 000,85 696,1 335,kłodzki
5,Ścinawka Dolna3,P,1 064,"
-",-,kłodzki
6,Ząbkowice Śląskie3,R,28 132,-,-,ząbkowicki
1,Niedźwiedzia Góra2,E,"
6 218",6 218,319,krakowski
1,Barcz I4,E,4 184,4 184,25,świdnicki
2,Borów4,E,132 975,58 216,141,świdnicki
3,Borów 174,E,"
33 141",33 141,128,świdnicki
4,Borów I - kam.494,E,14 745,6 104,48,świdnicki
5,Borów I - kam.49 A4,E,4 317,4 317,75,świdnicki
6,Borów-Południe4,E,8 204,2 367,19,świdnicki
7,Brodziszów I5,R,10 827,-,-,ząbkowicki
8,Brodziszów II5,"
R",1 281,-,-,ząbkowicki
9,Brodziszów-Kłośnik5,T,24 635,84,-,ząbkowicki
10,Brodziszów-Kłośnik-Pole B5,M,-,-,-,ząbkowicki
11,"
Chwalisław5",P,40 990,-,-,ząbkowicki
12,Chwałków I4,E,11 174,11 174,131,świdnicki
13,Czarne4,R,832,-,-,m.Jelenia Góra
14,Czernica4,E,14 823,14 823,50,świdnicki
