Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Bobrowo A,R,969.4,-,-,brodnicki
2,Bobrowo B,R,353.3,-,-,brodnicki
3,Iłowo II,Z,-,"
-",-,sępoleński
4,Jerzmanowo I,R,45.0,-,-,włocławski
5,Kaniewo,Z,186.0,-,-,włocławski
6,Kaniewo II,Z,367.1,-,-,włocławski
7,Piastoszyn I,T,224.3,"
224.3",-,tucholski
8,Rudaw,R,746.9,-,-,"golubsko-
dobrzyński"
9,Trepki,R,1 313.5,-,-,brodnicki
10,Trepki-Janówko,M,"
-",-,-,brodnicki
11,Węgorzyn,R,197.0,-,-,wąbrzeski
12,Wisławice,R,"
582.0",-,-,nakielski
1,Grabanów,R,"
2 388.0",-,-,bialski
2,Hrud,P,4 143.0,-,-,bialski
3,Ludwinek,T,7.8,7.8,-,łęczyński
4,Mogielnica I,R,26.6,-,-,chełmski
5,Ossówka,R,10 204.0,-,-,bialski
1,Brzeźno,R,1 065.0,-,-,gorzowski
2,Gądków Wielki,P,707.0,-,-,sulęciński
3,"
Łomy",P,374.8,-,-,krośnieński
4,Maczków,R,641.0,-,-,słubicki
5,Mostki,R,188.5,-,-,świebodziński
6,Pomorsko,Z,1 834.0,-,-,zielonogórski
7,"
Pomorsko II",R,263.0,-,-,zielonogórski
8,Rańsko,P,928.0,-,-,międzyrzecki
9,Santoczno,P,619.0,-,-,gorzowski
10,Sława,Z,540.2,-,-,wschowski
11,Szumiąca,Z,2 511.1,-,-,międzyrzecki
12,Tarnawa,P,603.0,-,-,sulęciński
13,"
Wołogoszcz",Z,84.8,-,-,"strzelecko-
drezdenecki"
1,Bachorza*,T,62.6,-,-,łosicki
2,Bachorza II*,Z,17.7,-,-,łosicki
3,Bachorza III*,Z,40.3,-,"
-",łosicki
4,Bachorza IV*,Z,-,-,-,łosicki
5,Bachorza VI*,E,31.1,31.1,1.6,łosicki
6,Kobierniki,R,56.6,-,-,płocki
7,Kolonia Wólka Nosowska I*,Z,4.3,-,-,łosicki
8,Kolonia Wólka Nosowska II*,T,25.9,"
-",-,łosicki
9,Kornica – Nowa*,R,9 841.0,-,-,łosicki
10,Kornica Nowa - zarej.*,Z,4.8,-,-,łosicki
11,Kornica Nowa II*,R,226.2,-,-,łosicki
12,Kornica-Koszelówka*,R,12 732.0,-,-,łosicki
13,Kornica-Popówka*,Z,9 238.6,"
-",-,łosicki
14,Koszelówka I*,E,774.5,-,-,łosicki
15,Rudka*,Z,6.5,-,-,łosicki
16,Rudka II*,E,"
50.0",-,0.8,łosicki
17,Sewerynów*,E,249.7,-,6.5,łosicki
18,Zienie*,Z,"
14.5",-,-,łosicki
1,BarŜykowo,Z,3.2,-,-,kolneński
2,BarŜykowo I,Z,"
8.8",-,-,kolneński
3,BarŜykowo II,Z,192.8,-,-,kolneński
4,BerŜniki,P,933.3,-,-,sejneński
5,Dubowo,P,3 273.0,-,-,sejneński
6,Mielnik*,"
E",3 163.6,3 163.6,50.0,siemiatycki
7,Rajgród,Z,294.2,-,-,grajewski
8,Zelwa,P,883.1,-,-,sejneński
1,Bobowo,Z,120.0,-,-,starogardzki
2,Czarnoszyce,Z,-,-,-,człuchowski
3,DarŜyno,Z,-,-,-,słupski
4,"
Góra III",M,-,-,-,wejherowski
5,Góra IV,T,73.3,-,-,wejherowski
6,Grabówko,Z,720.2,-,-,słupski
7,Jeziernik,Z,596.7,-,-,"człuchowski,
szczecinecki"
8,Kalwa*,Z,143.4,-,-,sztumski
9,"
Kniewo",Z,261.6,-,-,wejherowski
10,Kochanka,Z,2 028.7,-,-,starogardzki
11,Konarzyny,Z,1 021.0,-,-,kościerski
13,Łubiana I,R,46.0,-,-,kościerski
14,Nowa Cerkiew III,Z,12.1,-,-,".
tczewski"
15,Orle-Wejherowo,Z,16 030.0,-,-,wejherowski
16,Orle-Wejherowo II,Z,17.0,-,-,wejherowski
17,Osieczna,P,3 064.0,-,"
-",starogardzki
18,Pawłówko,R,1 224.8,-,-,człuchowski
19,Pawłówko II,Z,75.8,-,-,człuchowski
20,Perlino,T,19.4,19.4,-,wejherowski
21,Polnica-C,R,265.0,-,-,człuchowski
22,Postolin-Cygusy,Z,1 030.2,"
-",-,sztumski
23,Rodowo,Z,4.6,-,-,kwidzyński
24,Roszczyce,Z,6 084.6,3 705.1,-,lęborski
25,Roszczyce II,T,225.0,-,-,lęborski
26,RóŜyny,T,24.0,"
24.0",-,gdański
27,RóŜyny II,Z,16.6,-,-,gdański
28,RóŜyny III,R,30.6,-,-,gdański
29,Skowarcz-Pszczółki,P,1 915.0,-,-,gdański
30,Sulęczyno,Z,"
760.0",-,-,kartuski
31,Trzebielino,Z,174.1,-,-,bytowski
32,Zapceń - pole A,Z,"
994.7",-,-,bytowski
33,Zapceń - pole B,Z,806.9,-,-,bytowski
1,Barwiny,R,1 645.0,-,-,olsztyński
2,Bornity,Z,583.2,-,-,braniewski
3,Bornity I,R,155.1,-,-,braniewski
4,Cerkiewnik,P,1 332.0,-,-,olsztyński
5,Chmielewo,"
R",193.2,-,-,piski
6,Chrośle,R,279.2,-,-,nowomiejski
7,Dobry Lasek,R,666.0,-,-,mrągowski
8,Florczaki,Z,31.5,-,-,ostródzki
9,"
Ględy",Z,33.5,-,-,ostródzki
10,Ględy 1,T,31.9,-,-,ostródzki
11,Gronowo,R,1 234.0,-,-,działdowski
12,Judyty,P,974.1,-,-,bartoszycki
13,"
Karnity",P,601.0,-,-,iławski
14,Kiewry,P,362.0,-,-,olsztyński
15,Komorowo,P,43.0,-,-,ostródzki
16,Kruklin,Z,1.2,-,-,giŜycki
17,Kruklin II,Z,-,-,-,giŜycki
18,Lipowskie,P,1 211.0,-,-,piski
19,"
Lutek",Z,-,-,-,olsztyński
20,Lutek II,Z,-,-,-,olsztyński
22,Lutek IV,Z,85.6,-,-,olsztyński
23,Lutek V,Z,5.9,-,-,".
olsztyński"
24,Łukta-Wynki,P,776.0,-,-,ostródzki
25,Malinowo III,R,226.0,-,-,nidzicki
26,Malinowo V,Z,60.4,-,"
-",olsztyński
27,Malinowo-Pole II,Z,1 006.3,-,-,olsztyński
28,Malinowo-pole IV,T,108.0,-,-,olsztyński
29,Mostkowo,R,163.0,-,-,ostródzki
30,Piłaki,R,622.2,-,-,mrągowski
31,Prusy,T,1 322.3,"
-",-,działdowski
32,Prusy II,Z,3.9,-,-,działdowski
33,Rapa,T,7.7,-,-,gołdapski
34,Romoty,P,1 121.9,-,-,ełcki
35,Rynek,R,528.4,"
-",-,nowomiejski
36,Sędańsk,R,418.4,-,-,szczycieński
37,Szczurkowo,R,210.5,-,-,bartoszycki
38,Szuć,R,2 875.0,-,-,szczycieński
39,Tarda,P,"
425.0",-,-,ostródzki
40,Unieszewo,Z,194.5,-,-,olsztyński
41,Upałty,Z,"
-",-,-,giŜycki
42,Warkałki,Z,88.8,-,-,ostródzki
43,Wądzyń,Z,229.7,-,-,ostródzki
44,Wądzyń II,Z,"
103.4",-,-,ostródzki
45,Wenecja,T,290.0,-,-,nowomiejski
46,Wenecja II,T,13.0,-,-,nowomiejski
47,Wenecja pole A,R,118.4,-,-,nowomiejski
48,Zezuj,Z,33.8,-,-,olsztyński
49,abin,"
R",48.6,-,-,gołdapski
1,Belęcin,R,466.0,-,-,leszczyński
2,"
Błotkowo",R,179.0,-,-,leszczyński
3,Czapury,R,69.7,-,-,m.Poznań
4,Długa Goślina,T,21.9,-,-,poznański
5,Kalwy Cieśle,T,149.7,149.7,-,poznański
6,"
Kwiejce-Zbiornik D",R,341.7,-,-,"czarnkowsko-
trzcianecki"
7,Łękno,Z,1 298.9,-,-,wągrowiecki
8,Objezierze,Z,1 328.7,-,-,obornicki
9,Panienka,R,348.1,-,-,jarociński
10,Sierpówko-Kiączyn,R,2 328.0,-,-,szamotulski
11,"
Skic",Z,409.5,-,-,złotowski
12,Skic-Kujan,R,2 894.3,-,-,"pilski, złotowski"
13,StrzyŜewo Kościelne,Z,78.1,-,-,gnieźnieński
15,Wrząca,Z,25.7,-,-,".
czarnkowsko-
trzcianecki"
16,Zbąszyń,T,149.3,136.9,-,nowotomyski
1,Będgoszcz,P,4 828.0,-,"
-",pyrzycki
2,Białogórzyno,Z,93.8,-,-,białogardzki
3,Bonin (rejon),R,413.0,-,-,koszaliński
4,Bugno,P,1 365.0,-,-,szczecinecki
5,Człopa,R,1 338.3,"
-",-,wałecki
6,Dąbrowa Nowogardzka-Karsk,R,1 993.4,-,-,goleniowski
7,Dębina,R,176.9,-,-,gryfiński
8,Dębina III,T,907.0,907.0,-,gryfiński
9,DzierŜęcino (rejon),R,150.0,-,-,m.Koszalin
10,GiŜyn,P,8 555.0,"
-",-,pyrzycki
11,Grabowo,T,920.2,669.4,-,sławieński
12,Gwiazdowo-Kwasowo,R,1 043.4,-,-,sławieński
13,Hanki-Mirosławiec,T,"
1 177.5",1 018.8,-,wałecki
14,Kazimierz III,R,127.5,127.5,-,szczecinecki
15,Kłanino-Bobrowo,P,"
545.6",-,-,koszaliński
16,Konotop III,P,154.0,-,-,drawski
17,Kraśnik-Recz,P,1 804.8,-,-,choszczeński
18,Krosino-Mołstowo,R,5 504.1,-,-,"łobeski, świdwiński"
19,Lubiatowo,P,"
10 843.0",-,-,pyrzycki
20,Lubiatowo II,Z,635.6,-,-,pyrzycki
21,Lubiatowo III,E,183.0,183.0,16.8,pyrzycki
22,Łubianka,P,1 508.4,-,-,myśliborski
23,Malechowo,"
P",336.4,-,-,sławieński
24,Marcelin,Z,137.6,-,-,szczecinecki
25,Mielenko Drawskie,Z,128.0,-,-,drawski
26,Pęczerzyno-Rynowo,T,911.5,192.5,-,"łobeski, świdwiński"
27,"
Prostynia II",Z,-,-,-,drawski
28,Prostynia III,Z,326.0,-,-,drawski
29,Rusinowo,Z,154.8,-,-,świdwiński
30,Strzeszów,Z,786.0,-,-,gryfiński
31,"
Suliszewo",Z,1 876.7,-,-,choszczeński
32,Tyczewo,Z,113.2,-,-,białogardzki
33,Tyczewo I,T,559.4,132.0,-,białogardzki
34,Wielimskie Bagno,R,802.6,580.0,-,szczecinecki
35,Wierzbno,P,3 061.0,-,-,pyrzycki
36,Witkowo,P,506.0,-,-,stargardzki
37,"
Wołowe Lasy",R,1 178.3,-,-,wałecki
38,Wyszebórz (rejon),R,599.0,-,-,koszaliński
39,elewo,R,24.0,-,-,gryfiński
