Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Chrostnik,"
P",292 351,-,-,lubiński
2,Jaworów,P,5 972,-,-,świdnicki
3,Obora,E,32 354,11 997,1 331,lubiński
4,Sucha Górna,R,177 879,-,-,"głogowski, polkowicki"
1,Hutki II,E,5 527,5 527,198,olkuski
2,Pust. Błędowska - blok II,R,92 835,-,-,olkuski
3,"
Pust. Błędowska - blok III",R,261 760,-,-,olkuski
4,Pust. Błędowska - blok IV,E,275 985,11 526,1 023,olkuski
5,"Pust.Błędowska
(obsz.poz.)",Z,79 724,-,-,"chrzanowski,
m. Dąbrowa Górnicza,
m. Jaworzno, olkuski"
6,Siersza-Misiury,E,50 968,19 634,1 128,"chrzanowski,
m. Jaworzno"
7,"
Szczakowa pole I",E,14 046,14 046,192,olkuski
8,Szczakowa pole II,Z,84 139,-,-,"m. Jaworzno, olkuski"
9,Szczakowa pole III,R,40 575,-,-,"m. Jaworzno, olkuski"
1,Kotlarnia p. północne,E,77 641,66 963,550,"kędzierzyńsko-
kozielski"
2,Kotlarnia Solarnia,R,382 193,-,"
-","kędzierzyńsko-
kozielski"
1,Błędów - blok I,R,75 890,-,-,m. Dąbrowa Górnicza
2,Boguszowice,Z,123 416,-,"
-",m. Rybnik
3,Borowa Wieś,Z,7 672,-,-,"mikołowski,
m. Ruda Śląska"
4,Bór (Wschód),E,7 091,1 511,644,"m. Jaworzno,
m. Sosnowiec"
5,Bór (Zachód),E,13 765,"
1 676",24,"m. Jaworzno,
m. Sosnowiec"
6,Brynica,R,13 231,-,-,tarnogórski
7,Chechło,Z,45 876,-,-,tarnogórski
8,Kuźnica WaręŜyńska,T,"
11 530",11 530,-,"będziński,
m. Dąbrowa Górnicza"
9,Marklowice,Z,"
tylko pzb.",-,-,wodzisławski
10,Ochojec,R,161 164,-,-,m. Rybnik
11,Panewniki,Z,"
18 435",-,-,"Mikołowski,
m. Katowice,
m. Ruda Śląska"
12,Rozkówka,R,1 036,-,-,będziński
13,Smolnica,R,13 803,-,-,gliwicki
14,Strzybnica,P,57,-,-,tarnogórski
15,Szczakowa - Maczki,"
R",70 659,-,-,"m. Jaworzno,
m. Sosnowiec"
16,"Taciszów - pole V,VI,VII",Z,23 368,-,-,m. Gliwice
17,Tworóg Mały,R,39 000,-,-,tarnogórski
18,"
Zebrzydowice",P,2 815,-,-,cieszyński
