Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Grochów,P,tylko pzb.,-,-,ząbkowicki
2,Szklary-Szklana Góra,"
Z","7 976
64","-
-","-
-",ząbkowicki
3,"
Szklary-Wzgórze
Koźmickie",Z,"1 693
15","-
-","-
-",ząbkowicki
4,"Szklary-Wzgórze
Siodłowe",Z,"4 975
38","-
-","-
-",ząbkowicki
1,"
Bytom Odrzański",R,6.20,-,-,"głogowski,
nowosolski"
3,Głogów,R,tylko pzb.,-,-,".
głogowski,
polkowicki"
4,"Głogów Głęboki
Przemysłowy",E,15.46,-,0.00,"głogowski, lubiński
polkowicki"
5,Lubin-Małomice,E,14.95,-,"
0.29","lubiński, polkowicki"
6,Radwanice-Zachód,R,0.30,-,-,polkowicki
7,Retków,R,7.98,-,-,"głogowski, lubiński
polkowicki"
8,Rudna,E,9.54,-,"
0.28","lubiński,
polkowicki"
