Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Golędzinów I,R,92,-,-,trzebnicki
2,Kurowice,R,41,-,-,głogowski
3,Wilczyn,R,315,"
-",-,trzebnicki
1,Szczepanki I,R,154,-,-,grudziądzki
1,Ciechanki Łańc. VI,T,"
83",53,-,łęczyński
2,Hrebenne,R,46,-,-,tomaszowski
3,Rokitno I,E,89,44,-,lubartowski
1,Wiewiórów Rządowy II,R,49,-,-,radomszczański
1,Biecz-Belna,"
T",30,-,-,gorlicki
2,Biecz-Belna 1,E,6,-,0,gorlicki
1,"
Góry VIII",R,79,-,-,miński
2,Siedlin,E,23,17,20,płoński
3,Zalesie I,E,13,-,-,miński
1,Chałupki Dusowskie,R,466,-,-,przemyski
2,Gniewczyna Tryniecka,E,667,-,104,przeworski
3,Krzemienica,R,12,-,-,mielecki
4,Łazów-Galicja,E,28,-,8,niŜański
5,Myscowa,R,166,-,-,jasielski
6,"
Osobnica II",M,-,-,-,jasielski
7,Pydych - Babicha,R,25,-,-,mielecki
8,WyŜne-2,E,4,-,0,strzyŜowski
