Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Michałowo,R,12 500,-,-,inowrocławski
1,Bukowa Wielka,R,2 603,-,-,chełmski
2,Dominiczyn,Z,81,-,-,włodawski
3,Izbica V,E,849,849,117,krasnostawski
4,"
Lechówka dz. 102/1, 99",R,93,-,-,chełmski
5,Lechówka dz. 104/1,R,80,-,-,chełmski
6,"Lechówka dz.97/1,101/1",E,24,-,10,chełmski
7,Lechówka dz.99,E,-,-,5,chełmski
8,Łukówek,Z,292,-,-,chełmski
9,Pawłów,Z,184,-,-,chełmski
1,Borki-hałda,Z,8,-,-,łęczycki
3,Wieluń-Widoradz,Z,72 411,-,-,wieluński
1,Kornica-Litewniki (pole A),R,3 386,-,-,łosicki
2,Kornica-Litewniki (pole B),R,1 802,-,"
-",łosicki
1,Bolko,Z,406,-,-,m.Opole
2,Krasiejów,Z,tylko pzb.,"
-",-,"opolski,
strzelecki"
1,Cieszanów,R,8 515,-,-,lubaczowski
2,Zaklików,R,30 144,-,-,stalowowolski
3,uków-Doliny,P,32 917,"
-",-,lubaczowski
1,Grodziec,R,1 750,-,-,będziński
2,Niegowonice,M,"
-",-,-,zawierciański
3,Niegowonice II,P,73 364,-,-,zawierciański
4,Wiek II,R,"
11 163",-,-,zawierciański
5,Wręczyca-Grodzisko,R,5 798,-,-,kłobucki
6,Wysoka II,R,tylko pzb.,-,-,zawierciański
7,Wysoka III,Z,"
47",-,-,zawierciański
8,Wysoka IV,R,8 673,-,-,zawierciański
1,Gnieździska,R,2 896,-,-,kielecki
2,Nida-Lurowizna,"
R",5 877,-,-,kielecki
