Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Brzeziny,P,8 751,-,-,krasnostawski
2,Dębówka,P,3 511,-,-,lubelski
3,Gołaszyn,P,3 906,"
-",-,łukowski
4,Gródek,P,5 215,-,-,parczewski
5,Hrubieszów,P,1 519,-,-,hrubieszowski
6,Izbica,P,1 958,-,-,krasnostawski
7,Klementowice,P,3 015,-,-,puławski
8,Klementowice II,R,2 373,"
-",-,puławski
9,Sól,R,10 226,-,-,biłgorajski
10,Szczebrzeszyn,P,1 656,-,-,zamojski
11,Wierzchoniów,P,3 379,-,-,puławski
12,ulin,R,"
3 715",-,-,m. Lublin
1,Borówka,M,"
-",-,-,zgierski
2,Kruszów,R,374,-,-,łódzki wschodni
3,Ostrów (Kol.Bronisławów),P,5 588,-,-,sieradzki
4,Piaskowice,R,"
7 662",-,-,zgierski
5,Polichno,R,615,-,-,piotrkowski
6,Sierpów,R,346,-,-,zgierski
7,Uniejów,P,3 338,-,-,poddębicki
8,Wola Kleszczowa,P,3 490,-,-,łaski
1,Brzóze,P,2 340,-,-,miński
2,Budy Mszczonowskie,E,7 963,1 505,14,Ŝyrardowski
3,Iwowe,P,1 629,-,-,garwoliński
4,"
Kotarwice (Parznice)",P,2 136,-,-,radomski
5,Winnica,P,2 034,-,-,pułtuski
1,Przybyszówka,P,5 724,-,-,rzeszowski
2,"
Radymno-Przymiarki",P,5 388,-,-,jarosławski
3,Ruda,P,7 998,-,-,mielecki
1,JeŜewo Stare,P,5 450,-,-,białostocki
1,Gniew II,E,8 855,1 770,96,tczewski
2,"
Machowinko",P,21 556,-,-,słupski
1,Dębica,P,1 055,-,-,elbląski
3,Nawra,P,3 106,-,-,nowomiejski
4,Wólka-Oterki,P,5 912,-,-,".
olsztyński"
1,Dębnica,P,1 503,-,-,gnieźnieński
2,Drzeczkowo,R,182,-,"
-",leszczyński
3,Fabianów,Z,276,-,-,pleszewski
4,Grabowo-Kołaczkowo,P,5 288,-,-,wrzesiński
5,Sokołowo-Gulczewko,P,2 848,-,-,wrzesiński
6,Wierzchocin,P,3 370,-,-,szamotulski
1,Bukowo (Szczecin-Płonia),Z,2 493,-,-,m. Szczecin
