Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Sieroszowice,R,2 936 171,"
-",-,"głogowski,
polkowicki"
1,Damasławek,P,17 690 430,"
-",-,Ŝniński
2,Góra,E,2 305 708,280 315,1 071,inowrocławski
3,Lubień,R,4 070 841,-,-,włocławski
4,Mogilno I,E,3 603 776,143 300,934,mogileński
5,Mogilno II,T,"
5 696 733",102 812,467,mogileński
1,Łanięta,R,2 127 000,-,-,kutnowski
2,Rogoźno,P,8 612 000,-,-,zgierski
1,Siedlec-Moszczenica,Z,187 883,-,-,bocheński
2,Wieliczka,Z,tylko pzb.,-,-,wielicki
3,Wojnicz,P,2 083 000,-,-,tarnowski
1,Łeba,P,2 751 000,-,-,lęborski
2,Mechelinki,R,2 974 982,347 078,467,pucki
3,"
Zatoka Pucka",R,16 336 032,-,-,pucki
1,"
Rybnik-śory-Orzesze",P,2 098 600,-,-,"mikołowski,
m.Rybnik,
m.śory, rybnicki"
1,Kłodawa (część południowa),P,4 072 245,-,-,kolski
2,Kłodawa (część północna),P,6 888 188,-,-,kolski
3,"
Kłodawa (część środkowa)",E,899 924,107 766,823,kolski
4,Wapno,Z,tylko pzb.,-,-,wągrowiecki
