Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Antoni (Kalno),R,2 092,-,-,świdnicki
2,Kaławsk-Południe,M,-,-,-,zgorzelecki
3,Kaławsk-szyb główny,Z,639,-,-,zgorzelecki
4,Kopalnia Zapomniana,"
Z",4 142,-,-,zgorzelecki
5,Legnica-p. Północne,P,1 723 049,-,-,"legnicki, lubiński"
6,Legnica-p. Wschodnie,R,839 312,-,-,legnicki
7,"
Legnica-p. Zachodnie",R,863 638,-,-,"legnicki, m.Legnica"
8,"Lusina-Udanin
p.Południowe",R,7 402,-,-,średzki
9,"Lusina-Udanin
p.Północne",R,3 085,-,-,średzki
10,"
Ruja",P,345 147,-,-,"jaworski, legnicki,
średzki"
11,Sadlno,R,95,-,-,ząbkowicki
12,Siedlimowice,R,1 791,-,-,świdnicki
13,Ścinawa,P,1 766 983,-,-,lubiński
14,Turów,E,413 620,365 375,10 276,zgorzelecki
1,Brzezie,P,53 909,-,-,włocławski
3,Kobielice,P,6 688,-,-,radziejowski
4,Lubraniec,P,tylko pzb.,-,-,".
włocławski"
5,Nakło,P,245 341,-,-,nakielski
6,Szubin,P,tylko pzb.,-,-,"nakielski, Ŝniński"
1,Sierskowola,P,tylko pzb.,-,-,rycki
2,Trzydnik,R,180,-,-,kraśnicki
1,Babina - śarki,P,142 161,-,-,Ŝarski
2,Babina-łuska 0 I,R,4 381,-,-,Ŝarski
3,Babina-łuska 0 II,R,1 329,-,-,Ŝarski
4,Babina-łuska 0 III,R,5 318,-,-,Ŝarski
5,Babina-łuska 0-0A,Z,4 214,"
-",-,Ŝarski
6,Babina-strefa fałdowa f-g,R,1 960,-,-,Ŝarski
7,Cybinka,P,237 487,-,-,"krośnieński, słubicki"
8,Gubin,R,1 035 745,"
-",-,Ŝarski
9,Gubin 1,R,541 750,-,-,"krośnieński, Ŝarski"
10,Maria,R,72,-,-,nowosolski
11,Mosty,P,"
175 394",-,-,Ŝarski
12,"Przyjaźń Narodów-
sz.Henryk",Z,280,-,-,Ŝarski
13,Rzepin,P,"
249 528",-,-,słubicki
14,Sądów,P,226 469,-,-,"krośnieński,
słubicki, sulęciński"
15,Sieniawa 1,E,1 800,1 685,150,świebodziński
16,Sieniawa 2,"
R",17 634,-,-,"sulęciński,
świebodziński"
17,Sieniawa-siodło IX-XVI,R,24 429,-,-,"sulęciński,
świebodziński"
18,"
Torzym",P,843 879,-,-,"sulęciński,
świebodziński"
1,"
Bełchatów-p.Bełchatów",E,276 104,217 130,25 040,"bełchatowski,
radomszczański"
2,Bełchatów-p.Kamieńsk,R,132 424,-,-,"piotrkowski,
radomszczański"
3,Bełchatów-p.Szczerców,E,868 424,611 774,7 858,"bełchatowski,
pajęczański"
4,"
Łęki Szlacheckie",P,82 963,-,-,"piotrkowski,
radomszczański"
5,Łowicz,P,tylko pzb.,-,-,łowicki
6,Rogoźno,P,551 295,-,-,zgierski
8,Złoczew,P,485 622,-,-,"sieradzki, wieluński"
1,Głowaczów,P,76 287,-,-,kozienicki
2,Gostynin,P,tylko pzb.,-,"
-",gostyniński
3,Owadów,P,3 038,-,-,radomski
4,Wola Owadowska,R,13 314,-,-,radomski
1,Łączki,R,1 820,-,"
-",nyski
2,Polska Nowa Wieś,R,747,-,-,opolski
1,Adamów,E,38 088,30 465,2 853,turecki
2,"Adamów-
socz.Małgorzata",R,5 796,"
-",-,turecki
3,Adamów-socz.Rogi,P,885,-,-,turecki
4,Czempin,P,1 034 578,"
-",-,kościański
5,Dęby Szlacheckie,P,48 474,-,-,kolski
6,Dobrów,P,17 815,-,-,kolski
7,Drzewce,E,"
26 690",25 359,2 925,"kolski, koniński"
8,Gostyń,P,1 988 830,-,-,gostyński
9,Izbica Kujawska,P,21 120,-,-,kolski
10,Kopalnia Wanda,R,"
47",-,-,międzychodzki
11,Koźmin,E,18 383,14 581,1 069,"kolski, turecki"
12,Krzywin,P,666 507,-,-,kościański
13,Lubstów,T,1 859,760,-,koniński
14,Mąkoszyn-Grochowiska,"
R",50 857,-,-,"kolski, koniński,
radziejowski,
włocławski"
15,Morzyczyn,R,26 113,-,-,koniński
16,"
Mosina",P,1 495 412,-,-,"kościański,
poznański, śremski"
17,Ochle,P,1 229,-,-,kolski
18,Oczkowice,P,143 047,-,-,"gostyński, rawicki"
19,Ościsłowo,R,41 317,-,-,koniński
20,"
Pątnów I",Z,tylko pzb.,-,-,koniński
21,Pątnów III,E,4 303,669,2 561,koniński
22,"Pątnów III-
socz.Danków",R,1 587,-,-,"koniński, słupecki"
23,Pątnów IV,E,34 570,41 703,3 287,koniński
24,Piaski,R,108 414,-,-,"koniński, słupecki"
25,"
Rumin",R,58,-,-,koniński
27,Tomisławice,R,53 559,-,-,".
koniński,
radziejowski"
28,Trzcianka,R,300 077,-,-,"czarnkowsko-
trzcianecki, wałecki"
29,Węglewice,P,49 983,-,"
-","ostrzeszowski,
wieruszowski"
30,Więcbork,P,509 113,-,-,"nakielski, pilski,
sępoleński"
31,Władysławów,E,2 701,1 445,496,turecki
32,Władysławów II,R,11 814,-,"
-",turecki
