Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Lubichów,E,40 854,38 881,71,bolesławiecki
2,Nawojów Śląski,P,2 119,-,-,lubański
3,Nowy Ląd,E,18 614,10 426,72,lwówecki
4,Nowy Ląd-Pole Radłówka,E,11 528,11 290,49,lwówecki
1,Łopuszka Wielka,Z,168,-,-,przeworski
2,Siedliska,R,3 952,-,-,rzeszowski
2,Gartatowice,Z,1 303,-,-,pińczowski
3,Leszcze,E,19 805,13 948,592,".
pińczowski"
4,Łatanice-Skorocice,R,14 500,-,-,buski
5,Siesławice,Z,2 100,-,-,buski
6,Skorocice-Chotelek,R,22 337,-,"
-",buski
7,Uników-Galów-Szaniec,P,31 140,-,-,"buski, pińczowski"
8,Winiary,R,46 496,-,-,pińczowski
1,Wapno,R,7 683,"
-",-,wągrowiecki
