Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Barbara,Z,2,-,-,bolesławiecki
2,Borowiany,Z,132,"
-",-,bolesławiecki
3,Brzeźnik,Z,4,-,-,bolesławiecki
4,Kleszczowa I (Kliczków),Z,tylko pzb.,-,-,bolesławiecki
5,Kleszczowa II (Kliczków),Z,tylko pzb.,-,-,bolesławiecki
6,Kowalskie,P,701,-,-,strzeliński
7,KsiąŜkowice,Z,6,"
-",-,bolesławiecki
8,Milików,R,787,-,-,bolesławiecki
9,Milików II,R,24,-,-,bolesławiecki
10,Nawojów-Rzeczka,Z,"
10",-,-,lubański
11,Ołobole I-II,Z,99,-,-,bolesławiecki
12,Parzyce,Z,"
13",-,-,bolesławiecki
13,Przeworno,Z,249,-,-,strzeliński
14,Wolbromów,Z,415,-,-,lwówecki
1,Doły Biskupie-Godów,R,357,-,-,starachowicki
2,Góra Skała,R,1 676,-,-,kielecki
3,Wojtkowa Góra I (N. Huta),R,1 141,-,-,kielecki
4,Wojtkowa Góra II (N. Huta),R,1 264,-,-,kielecki
