Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Bytom Odrzański,R,"2 247
93
54","
-
-
-","-
-
-","głogowski,
nowosolski"
2,Gaworzyce,R,"54 389
1 283
1 926","
-
-
-","-
-
-","głogowski,
polkowicki"
3,Głogów,R,"
tylko pzb.",-,-,"głogowski,
polkowicki"
4,"Głogów Głęboki-
Przemysłowy",E,"
291 586
6 998
22 939","266 927
6 410
20 777","135
3
16","głogowski,
polkowicki"
5,Lubin-Małomice,E,"387 518
5 133
21 528","330 295
4 256
18 126","6 057
65
345","lubiński,
polkowicki"
6,Polkowice,E,"114 034
2 666
5 464","95 601
2 181
4 363","1 989
45
108","lubiński,
polkowicki"
7,Radwanice-Wschód,T,"6 477
130
182","6 477
130
182","-
-
-",polkowicki
8,Radwanice-Zachód,R,"18 575
465
795","-
-
-","-
-
-",polkowicki
9,Retków,R,"137 288
2 151
11 031","-
-
-","-
-
-","głogowski,
lubiński,
polkowicki"
10,Rudna,E,"397 625
6 758
18 799","295 747
5 086
14 328","9 106
181
470","głogowski,
lubiński,
polkowicki"
11,Sieroszowice,E,"297 612
7 768
19 306","256 760
6 669
17 093","5 698
164
697","głogowski,
polkowicki"
1,Niecka Grodziecka,Z,"10 291
141
501","-
-
-","
-
-
-","bolesławiecki,
złotoryjski"
2,Nowy Kościół,Z,"13 478
116
583","-
-
-","-
-
-","jaworski,
złotoryjski"
3,Wartowice,R,"79 316
1 165
4 260","-
-
-","
-
-
-",bolesławiecki
