Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Góra Sośnia (Dziwiszów),P,25 476.00,"g
-",-,jeleniogórski
2,Kamienica Mała,R,21 695.00,-,-,jeleniogórski
3,Karpniki,T,10 377.35,2 590.35,-,jeleniogórski
4,Kopaniec,R,13 823.00,-,-,jeleniogórski
5,Maciejowa,P,".
35 907.00",-,-,jeleniogórski
6,Maciejowa II,R,18 021.41,-,-,m. Jelenia Góra
7,Pagórki Wschodnie,E,"i
156.91",156.91,24.35,wrocławski
8,Proszowa-Kwieciszowice,R,7 596.65,-,-,lwówecki
9,Stary Łom,E,3 620.56,2 484.56,1.44,wrocławski
1,Siedlec,R,365.00,-,-,krakowski
2,Wygiełzów,P,tylko pzb.,-,-,chrzanowski
