Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Ołobola,P,".
11 679",-,-,bolesławiecki
2,Osiecznica I,Z,1 166,-,-,bolesławiecki
3,Osiecznica II,E,"i
15 161",15 161,789,bolesławiecki
4,Osiecznica-Stanisława,R,2 082,-,-,bolesławiecki
5,Parowa,R,17 302,-,-,bolesławiecki
6,Władysława,P,"g
14 519",-,-,bolesławiecki
1,Tereszpol,R,1 762,-,-,zamojski
1,Lutynka-Soczewka 1,Z,tylko pzb.,-,-,Ŝagański
2,Lutynka-Soczewka B-I,R,181,-,-,Ŝarski
3,Lutynka-Soczewka L-II,R,41,-,-,Ŝarski
4,".
Stawnik",P,115,-,-,Ŝarski
1,Biała Góra I - Wschód,E,23 000,19 719,105,tomaszowski
2,"w
Biała Góra II - Wschód",E,31 081,20 800,433,tomaszowski
3,Biała Góra III - Wesoła,T,14 959,13 000,-,tomaszowski
4,Góry Trzebiatowskie,P,22 297,-,-,opoczyński
5,Piaskownica-Zajączków E,E,26 560,23 566,524,opoczyński
6,Radonia,R,47 609,-,-,opoczyński
7,Unewel-Wschód,R,97 137,52 299,-,opoczyński
8,"w
Unewel-Zachód",E,84 526,43 165,389,"opoczyński,
tomaszowski"
9,Wygnanów II,R,47 706,-,-,opoczyński
1,Mostówka,R,8 773,-,-,wyszkowski
2,Wołomin,Z,199,-,-,wołomiński
3,Wyszków-Skuszew,E,1 056,826,"v
5",wyszkowski
1,Koziejówka,P,2 474,-,-,lubaczowski
1,Puck,R,1 244,-,-,pucki
1,Piaseczno,Z,788,-,-,sandomierski
2,Świniary II,P,6 084,"g
-",-,sandomierski
1,Olszyna,P,1,-,-,ostrzeszowski
2,Ujście Noteckie II,E,".
7 894",7 566,45,pilski
1,Sulechowo,R,6 427,-,-,sławieński
