Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,B 3,E,889.89,"
889.89",16.78,Bałtyk (off shore)
2,B 4,P,2 686.60,1 972.40,-,Bałtyk (off shore)
3,B 6,P,"
1 792.85",1 792.85,-,Bałtyk (off shore)
4,B 8,E,415.98,415.98,4.11,Bałtyk (off shore)
1,Bednarka,E,tylko pzb.,-,0.51,gorlicki
2,Biecz,P,tylko pzb.,-,-,gorlicki
3,Bóbrka-Rogi,E,19.36,0.20,0.03,krośnieński
4,Czarna,E,1.59,0.40,0.10,bieszczadzki
5,"Dąbrówka
Tuchowska",E,"
23.74",5.90,4.52,tarnowski
6,"Dominik.-Kob.-
Kryg",Z,-,-,-,gorlicki
7,Draganowa,"
P",88.27,-,-,krośnieński
8,Dwernik,E,tylko pzb.,-,0.01,bieszczadzki
9,"Folusz-
Pielgrzymka",E,tylko pzb.,-,0.07,jasielski
10,"
Gorlice",E,31.15,-,0.02,gorlicki
11,Gorlice-Glinik,E,8.25,2.35,0.74,gorlicki
12,Grabownica,E,3.41,1.43,0.46,brzozowski
13,Harklowa,E,0.29,0.01,0.03,jasielski
14,Iskrzynia,Z,tylko pzb.,-,-,krośnieński
16,Jaszczew,E,190.29,22.49,5.63,".
jasielski,
krośnieński"
17,Jurowce-Srogów,E,23.09,21.14,4.43,sanocki
18,Krościenko,E,1.00,0.25,0.04,"krośnieński,
m.Krosno"
19,"Lachowice-
Stryszawa",R,240.00,-,"
-",suski
20,Łodyna,E,8.52,-,0.42,"bieszczadzki, leski"
21,Osobnica,E,44.12,8.51,0.65,jasielski
22,Potok,R,7.72,0.26,"
-",krośnieński
23,"Rej. Grabownica
Wieś",E,84.19,71.52,0.06,brzozowski
24,Roztoki,E,122.32,50.50,7.31,jasielski
25,Sanok-Zabłotce,E,159.06,3.45,3.63,sanocki
26,Słopnice,E,83.28,"
3.04",0.16,limanowski
27,Strachocina,G,121.50,121.50,-,"brzozowski, sanocki"
28,Strzeszyn,T,2.69,2.32,-,gorlicki
29,Szalowa,E,73.01,"
61.89",0.67,gorlicki
30,"Turze Pole-
Zmiennica",E,0.18,0.18,0.04,brzozowski
31,Wańkowa,E,"
5.71",0.95,0.14,"bieszczadzki, leski"
