Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Czerwona Woda SW,Z,22,-,-,zgorzelecki
2,"Lusina-Udanin
p.Południowe",R,29 016,-,-,średzki
3,"Lusina-Udanin
p.Północne",R,"
6 117",-,-,średzki
4,RóŜana,R,"
6 961",-,-,średzki
5,Rusko-Jaroszów,E,1 610,1 536,92,świdnicki
1,Chwaliszowice,T,"
1 328",372,-,Ŝarski
2,Łęknica,Z,402,-,-,Ŝarski
3,Łęknica II,Z,195,-,-,Ŝarski
4,Łęknica III,Z,-,-,-,Ŝarski
5,Łęknica-pole Edward,Z,-,-,-,Ŝarski
6,Małomice I,"
Z",328,-,-,Ŝagański
7,Małomice II,R,990,-,-,Ŝagański
1,arnów,Z,tylko pzb.,-,-,opoczyński
1,"
Borkowice-Radestów",R,5 229,-,-,przysuski
2,Jakubów,Z,314,-,-,przysuski
3,Kryzmanówka,T,1 830,805,-,przysuski
4,Rusinów,R,305,-,-,przysuski
