Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby wydobywalne pozabilansowe,Zasoby przemyslowe,Emisja z wentylacja,Wydobycie
1,Borynia,E,526.39,-,96.25,18.80,4.13
2,Brzeszcze,E,2 827.10,-,989.50,65.50,38.50
3,Budryk,E,5 323.55,-,245.69,25.73,8.22
4,Bzie-Dębina 2 - Zachód,R,"
324.58",-,-,0.93,-
5,Chudów – Paniowy 1,E,32.46,-,1.99,1.01,2.09
6,Chwałowice,E,346.99,-,19.79,9.46,5.93
7,Dębieńsko 1,R,5 794.00,-,604.00,-,-
8,Halemba,"
E",414.43,-,51.97,8.77,2.54
9,Halemba II,E,212.73,-,89.78,1.87,0.93
10,Jankowice,E,183.51,-,52.69,9.16,23.03
11,Jas-Mos,E,16.09,-,15.93,12.79∗∗),3.59
12,Knurów,"
P",71.60,-,-,-,-
13,Krupiński,E,3 123.37,-,67.68,21.64,32.48
14,Łaziska,P,776.00,-,-,-,-
15,Marcel,E,111.54,-,19.99,4.25,3.91
16,"
Moszczenica",E,22.80,-,6.72,**),5.11
17,Murcki,P,3 765.33,-,-,1.12,-
18,Pawłowice 1,R,3 612.28,-,659.23,-,-
19,Pniówek,E,1 542.60,-,243.79,76.23,40.65
20,Rydułtowy,E,311.50,-,71.10,6.77,12.99
21,Silesia,E,1 116.33,-,83.63,13.81,4.76
22,Sośnica,E,1 386.02,-,415.81,"
24.82",9.47
23,Staszic,E,847.14,-,37.60,26.14,8.30
24,Szczygłowice,E,1 555.82,-,122.03,18.30,30.20
25,Wesoła,E,1 825.92,-,"
224.53",32.99,14.07
26,Wieczorek,E,72.82,412.62,-,22.87,-
27,Wujek-część Stara Ligota,E,17.15,-,-,0.12,-
28,Zabrze-Bielszowice,E,1 531.65,-,336.55,25.90,7.34
29,Ziemowit,P,898.50,-,-,-,-
30,Zofiówka,E,747.97,-,"
407.58",33.00,16.68
1,Barbara-Chorzów,R,28.18,-,-,-,-
2,Brzezinka-2,P,588.02,663.26,-,-,-
3,Bzie-Dębina,P,5 371.30,-,-,-,-
4,Bzie-Dębina 1,R,916.90,"
-",-,-,-
5,Bzie-Dębina 1 - Zachód,R,1 191.90,-,-,-,-
6,Lędziny,R,739.70,"
-",-,-,-
7,Marcel-Ruch 1 Maja,Z,27.42,-,-,-,-
8,Mikołów,R,221.37,-,-,-,-
9,Morcinek,Z,"
286.29",-,-,-,-
10,Morcinek 1,P,237.97,-,-,-,-
11,Warszowice-Pawłowice Płn.,P,3 820.64,-,-,-,-
12,ory,R,1 319.54,-,-,-,-
13,ory-Warszowice,P,1 302.97,-,-,-,-
1,Halemba II,R,1 216.00,-,-,-,-
2,Kaczyce I,E,45.89,-,12.98,-,0.02
3,Lędziny,R,12 444.80,3 191.50,-,-,-
4,"
Murcki (głębokie)",P,6 568.50,6 306.50,-,-,-
5,Paniowy-Mikołów-Panewniki,P,7 589.00,-,-,-,-
6,Silesia Głęboka,T,2 791.15,467.73,1 169.54,-,-
7,Zebrzydowice,P,1 424.75,-,-,-,-
8,ory 1,E,143.96,-,97.22,-,3.02
