Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Postolin,E,5 381.95,"
2 839.10",22.45,milicki
2,Sułów,T,390.75,390.75,-,milicki
1,Grupa Dolna,P,8 937.43,"
-",-,świecki
2,"Przyłubie
Krajeńskie",R,"
1 266.00",-,-,bydgoski
3,Solec Kujawski,R,1 105.00,-,-,bydgoski
4,"Wymiary Dolne -
Podwiesk",P,"
3 031.00",-,-,chełmiński
1,Brzeziny,P,2 148.93,-,-,lubartowski
2,Brzeziny-1,R,1 137.25,-,-,lubartowski
3,Długi Kąt II,R,"
509.00",-,-,tomaszowski
4,Futymówka,P,9 486.00,-,-,biłgorajski
5,Gołąb,Z,tylko pzb.,-,-,puławski
6,Gołąb 1,Z,11.12,-,-,puławski
7,Józefów,"
E",833.44,833.44,14.99,biłgorajski
8,Lubartów,Z,3 010.00,-,-,lubartowski
9,Pardysówka,R,797.00,-,-,biłgorajski
10,Puławy,E,193.35,193.35,17.81,puławski
11,"
Zapłocie",P,992.90,-,-,lubartowski
1,Dzikowice,P,5 986.00,-,-,Ŝagański
2,Sarbiewo,R,3 127.00,-,-,"strzelecko-
drezdenecki"
1,Dylów Szlachecki,P,1 846.00,-,-,pajęczański
3,Mierzyn,E,2 074.28,677.08,18.91,piotrkowski
4,Patoki,P,3 920.00,-,-,".
łaski"
5,Skrzynki-Małecz,P,1 446.00,-,-,tomaszowski
6,"Zaosie-
Bronisławów",P,2 984.84,-,"
-",tomaszowski
7,agliny,P,2 052.00,-,-,łaski
1,"Lubasz-
Podkościółek",P,2 582.00,-,"
-",dąbrowski
1,"Kupnice
Laskowiec",R,854.00,-,-,ostrołęcki
2,Mostówka,P,5 553.00,"
-",-,wyszkowski
3,Paplin-Borzychy,P,2 010.00,-,-,węgrowski
4,Przygody,R,1 513.58,1 513.58,-,siedlecki
5,RaciąŜ,R,2 519.00,"
-",-,płoński
6,"Wola
SuchoŜebrska",E,"
212.44",188.92,19.39,siedlecki
7,"Wola
SuchoŜebrska I",R,789.65,-,-,siedlecki
1,Jastrzębie,P,2 547.00,-,-,namysłowski
2,Wierzbica,P,2 142.00,-,-,kluczborski
1,Głogów Małopolski,Z,"
100.55",-,-,rzeszowski
2,Nowa Grobla,P,2 190.00,-,-,lubaczowski
3,"Zaklików-
Zdziechowice","
P",1 462.00,-,-,stalowowolski
1,Osowiec,R,5 914.00,-,-,moniecki
2,"
Śniadowo",Z,975.76,-,-,łomŜyński
1,Sadlinki,P,5 479.00,-,-,kwidzyński
2,Studzienice,E,12 321.62,7 092.04,94.33,bytowski
1,Miny Czarnca,P,2 357.00,-,-,włoszczowski
2,Sędziszów,R,567.00,-,-,jędrzejowski
4,elisławice I,E,825.79,825.79,13.51,włoszczowski
1,Lidzbark Welski,E,3 352.98,1 174.83,37.24,działdowski
2,Łukta,P,3 564.00,-,"
-",ostródzki
3,Niegocin,Z,717.00,-,-,giŜycki
4,Niegocin II,E,2 599.03,60.30,19.44,giŜycki
5,Pierkunowo,P,750.00,-,-,giŜycki
6,Wilkaski,E,35.59,-,12.16,giŜycki
1,Dęby Szlacheckie,R,4 090.14,-,-,kolski
2,Drawsko,P,1 550.00,-,-,"czarnkowsko-
trzcianecki"
3,"Piła-Jezioro
Piaszczyste",E,3 269.56,"
3 001.38",31.83,"czarnkowsko-
trzcianecki"
4,Tuchorza,E,1 424.50,435.50,52.73,wolsztyński
1,Łobez,P,"
3 737.00",-,-,łobeski
2,"Łozienica
(Kliniska)",T,1 396.10,1 396.10,-,goleniowski
1,Bystrzyca Oławska I,R,"
7 548.00",-,-,oławski
2,Godzikowice,R,450.00,-,-,oławski
3,Kozików,P,5 070.00,-,-,średzki
4,Załęcze-Wodniki,"
R",3 390.20,-,-,górowski
1,Barcin,Z,1 848.00,-,-,Ŝniński
2,"
Barcin-Piechcin-
Pakość *",E,2 351.62,1 551.02,75.45,"inowrocławski,
mogileński,
Ŝniński"
3,"Lubaty-
Aleksandrynów",P,3 968.00,-,-,włocławski
4,"Opatowice-
Radziejów",Z,1 327.00,-,-,radziejowski
5,"
Smolniki",P,4 969.20,-,-,nakielski
6,Tuchola,R,6 638.00,-,-,tucholski
1,BełŜec,E,1 970.02,607.02,6.18,tomaszowski
2,Dyle,E,1 471.75,85.88,8.95,biłgorajski
3,HedwiŜyn,R,1 151.00,-,"
-",biłgorajski
4,Jedlanka II,E,270.62,-,1.03,łukowski
5,Kanie-Liszno,Z,214.25,-,-,chełmski
6,Karczmiska,R,3 744.00,-,-,opolski
7,Krzywda,R,4 612.00,-,-,łukowski
8,Rachów,P,2 631.00,-,"
-",kraśnicki
9,StęŜyca,Z,606.84,-,-,rycki
10,Toruń,R,2 118.00,-,-,chełmski
11,Włodawa II,P,6 311.00,-,-,włodawski
12,Woskrzenice II,R,3 477.00,"
-",-,bialski
13,dŜary,Z,3 050.10,-,-,łukowski
1,Bojadła,R,348.00,"
-",-,zielonogórski
2,Murzynowo,R,4 823.00,-,-,międzyrzecki
3,Stare Kurowo,Z,"
579.00",-,-,"strzelecko-
drezdenecki"
1,Bibianów,P,"
1 967.10",-,-,zgierski
2,Kodrań,P,3 020.00,-,-,pajęczański
3,Lubiec,R,3 534.00,-,-,bełchatowski
4,Marianów,Z,265.00,-,-,m.Łódź
5,Męcka Wola,P,"
4 253.31",-,-,sieradzki
6,Rabień,R,100.00,-,-,zgierski
7,Świnice Warckie,R,2 449.00,-,-,łęczycki
8,Teodory II,E,1 420.69,908.25,59.10,pabianicki
9,Wymysłów,"
P",6 461.00,-,-,radomszczański
1,Klucze,E,8 880.58,3 101.19,49.11,olkuski
1,Augustowo,P,4 978.00,-,-,mławski
2,Choszczówka,Z,8 821.00,-,-,legionowski
3,Dąbrówka,Z,1 019.05,-,-,wołomiński
4,Dąbrówka-Stany,T,23.81,-,-,siedlecki
5,"
Grabowo-Kruki",E,1 979.47,1 205.92,29.42,ostrołęcki
6,Grabowo-Kruki II,T,1 658.70,1 658.70,-,ostrołęcki
8,Malarz,P,6 102.00,-,-,ostrołęcki
9,RaciąŜ - Pole S,R,437.90,-,-,".
płoński"
10,Radzymin,R,2 358.00,-,-,wołomiński
11,Sadowne,Z,1 121.97,-,-,węgrowski
12,Sadowne I,R,284.46,-,"
-",węgrowski
13,Wieliszew,Z,2 636.00,-,-,legionowski
14,Wieliszew I,E,229.16,229.16,65.68,legionowski
15,ytkowice,Z,2 805.70,-,-,kozienicki
16,ytkowice 1,R,126.41,-,5.36,kozienicki
17,ytkowice 2,E,30.99,30.99,"
-",kozienicki
1,Jełowa,E,3 942.45,2 632.45,24.24,opolski
2,Jełowa II,P,6 952.00,"
-",-,opolski
1,Dziewięcierz,R,4 369.00,-,-,lubaczowski
2,Giedlarowa II,Z,418.10,"
-",-,leŜajski
3,"Kulno-
rej.LeŜajska",E,"
1 731.50",222.44,19.46,leŜajski
4,Lipa I,T,1 596.07,115.95,-,stalowowolski
5,Przychojec,R,2 627.00,-,-,leŜajski
6,Zaklików-Irena,P,5 257.00,-,-,stalowowolski
1,"Czaplino-
Barszczewo",P,2 163.19,-,-,białostocki
2,Mońki-śodzie,E,"
379.11",123.06,10.44,moniecki
3,Podgórze,P,8 652.00,-,-,łomŜyński
4,Szczebra III,T,93.52,-,-,augustowski
5,Śniadowo,R,427.70,-,-,łomŜyński
6,Tartak Nowy,"
Z",4 735.00,-,-,zambrowski
7,"Wasilków-
Białystok",Z,290.99,-,-,m.Białystok
1,Kiełpino-Kartuzy,Z,431.40,-,-,kartuski
2,Sadlinki-Biała,P,6 766.00,-,-,kwidzyński
3,Słupsk II,E,787.06,787.06,19.76,m.Słupsk
4,Szlachta,E,2 208.76,536.51,21.70,starogardzki
1,Czostków,E,399.13,227.33,35.50,włoszczowski
2,Karsy,P,3 441.00,-,-,opatowski
3,Ludynia,Z,378.00,-,"
-",włoszczowski
4,Niwiska,R,740.00,-,-,włoszczowski
5,Szczypiec,Z,1 534.00,-,-,pińczowski
6,Wąchock,Z,30.56,-,-,starachowicki
1,Iława II,E,2 940.64,492.84,68.78,iławski
2,JeŜe,P,6 395.00,-,-,piski
3,Lidzbark Welski,Z,148.90,-,-,działdowski
4,Mingajny,P,3 598.00,"
-",-,lidzbarski
5,Pasym,E,1 124.19,883.09,32.50,szczycieński
6,Pisz,T,682.56,322.48,-,piski
1,Buczek Mały,E,870.15,841.65,5.00,złotowski
2,Przysieczyn II,R,"
864.00",-,-,wągrowiecki
3,Romanowo Dolne,P,10 978.00,-,-,"czarnkowsko-
trzcianecki"
4,Sienno,E,530.65,122.75,44.22,wągrowiecki
5,Wieleń,Z,"
257.51",-,-,"czarnkowsko-
trzcianecki"
6,abinko,E,4 192.82,841.22,65.78,poznański
1,Barlinek,Z,1 023.93,-,-,myśliborski
2,"Kiełpino-
Suliszewo",R,9 729.00,-,-,choszczeński
3,Łęknica,"
T",3 483.00,548.00,-,szczecinecki
4,Łobez I,R,659.10,-,-,łobeski
5,Łobez II,Z,-,-,-,łobeski
6,Manowo,P,5 437.00,-,-,koszaliński
7,"
Radosław",Z,28.60,-,-,goleniowski
8,Słonowice,R,1 187.00,-,-,świdwiński
9,Trąbki,Z,298.29,-,-,stargardzki
10,Trąbki 1,E,14.79,-,4.24,stargardzki
11,Troszczyno,R,353.00,-,-,łobeski
12,Wałcz,Z,138.08,-,-,wałecki
13,"
Wicimice",P,7 731.00,-,-,gryficki
