Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Górzyca,T,1.64,8.19,0.83,słubicki
1,Baranów Sand.-Skopanie,R,"
99 231.00",-,-,"staszowski,
tarnobrzeski"
2,Basznia,Z,102 528.00,-,-,lubaczowski
3,Grębów,R,58 368.48,-,-,tarnobrzeski
4,Jamnica,P,"
42 228.00",-,-,"stalowowolski,
tarnobrzeski"
5,Jeziórko-Grębów-Wydrza,Z,87 135.00,-,-,tarnobrzeski
6,Machów I (odkrywka),Z,13 965.00,-,-,m.Tarnobrzeg
7,Machów II (otworówka),Z,24 221.05,-,-,m.Tarnobrzeg
1,Grzybów-Gacki,Z,1 336.55,-,-,"buski, staszowski"
2,Osiek,E,24 731.91,24 731.91,676.80,staszowski
3,"
Piaseczno",Z,tylko pzb.,-,-,sandomierski
4,Rudniki,P,49 950.00,-,-,staszowski
5,Solec,P,5 576.00,-,-,"buski,
staszowski"
6,"
Świniary",R,80.00,-,-,sandomierski
7,Wola śyzna,R,1 257.00,-,-,"buski,
staszowski"
1,"
BMB (Barnówko - Mostno
- Buszewo)",E,501.22,156.52,22.91,"gorzowski,
myśliborski"
2,Cychry,E,39.31,2.56,-,myśliborski
3,Zielin,E,3.92,8.95,1.65,gryfiński
