Lp.,Nazwa,Typ wody,Zasoby geologiczne bilansowe dyspozycyjne,Zasoby geologiczne bilansowe eksploatacyjne,Pobor,Powiat
1,Ustka*,Lz,-,31.0,nie ekspl.,słupski
1,Frombork IGH-1,LzT,-,20.0,nie ekspl.,braniewski
2,Gołdap,LzT,-,22.0,nie ekspl.,gołdapski
3,Hel IG-1,"
Lz",-,48.0,nie ekspl.,pucki
4,Krynica Morska,LzT,-,44.7,nie ekspl.,nowodworski
5,Lidzbark Warmiński,T,-,120.0,nie ekspl.,lidzbarski
6,Sopot*,Lz,-,44.0,30 191.00,m. Sopot
1,Jamno IG-3,LzT,-,5.4,nie ekspl.,koszaliński
2,"
Konstancin*",Lz,-,9.12,2 084.00,piaseczyński
3,Marusza*,LzT,-,20.0,4 962.00,grudziądzki
4,Mszczonów*,T,-,60.0,347 583.00,Ŝyrardowski
5,Nałęczów*,Ls,-,26.0,3 248.10,puławski
6,Skierniewice,T,-,86.6,nie ekspl.,m. Skierniewice
7,Wilga IG-1,LzT,-,20.0,nie ekspl.,otwocki
1,Ciechocinek*,LzT,-,345.0,93 772.00,aleksandrowski
2,Dziwnówek*,Lz,-,30.0,nie ekspl.,kamieński
3,Inowrocław I,Lz,-,6.2,nie ekspl.,inowrocławski
5,Kamień Pomorski*,Lz,-,15.0,"
2 015.00",kamieński
6,Kołobrzeg II*,Lz,-,98.52,11 889.00,kołobrzeski
7,Kotuń (Piła IG-1),LzT,-,15.7,nie ekspl.,pilski
8,Międzywodzie,Lz,-,1.4,nie ekspl.,kamieński
9,Połczyn-Zdrój*,Lz,-,2.8,2 290.00,świdwiński
10,Toruń,T,-,320.0,nie ekspl.,m. Toruń
11,Wieniec*,Lz,-,27.0,7 349.00,włocławski
1,Czeszewo IG-1,LzT,-,15.5,nie ekspl.,wrzesiński
2,Dobrów,LzT,-,60.0,nie ekspl.,kolski
3,Kleszczów,T,-,150.0,nie ekspl.,bełchatowski
4,Koło IG-3,T,"
-",80.0,nie ekspl.,kolski
5,"Łódź (EC-2, otw. nr 3)",T,-,126.0,nie ekspl.,m. Łódź
