Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
ZASOBY OGÓŁEM,1,.00,7.63,0.38,0.52,4.85
Razem -,9,.99,3.66,0.34,0.52,3.51
1. ZłoŜa zakładów czynnych,5,.60,3.26,0.34,0.52,3.29
ZłoŜa rozpoznane szczegółowo,4,.33,3.33,-,-,0.73
1,Ciechanki Łańc. VI,E,57,57,3,łęczyński
2,Hrebenne,R,46,-,-,tomaszowski
3,Rokitno I,E,13,13,"
7",lubartowski
1,Wiewiórów Rządowy II,E,48,-,1,radomszczański
1,Biecz-Belna,Z,30,-,-,gorlicki
2,Biecz-Belna 1,E,3,-,1,gorlicki
3,Sękowa,M,-,-,-,gorlicki
1,Góry VIII,E,79,-,-,miński
2,Siedlin,T,12,6,-,płoński
3,Zalesie I,E,"
3",-,10,miński
1,Chałupki Dusowskie,E,264,320,100,przemyski
2,Gniewczyna Tryniecka,E,498,138,9,przeworski
3,Gniewczyna Tryniecka-I,E,"
599",436,52,przeworski
4,Gorzyce dz.308,R,54,-,-,przeworski
5,Krzemienica,R,12,-,-,mielecki
6,Łazów-Galicja,Z,-,-,-,niŜański
7,Mały Ubieszyn,R,49,-,-,przeworski
8,Męciszów I,"
E",162,119,295,dębicki
9,Munina-Nadsan,T,258,211,-,jarosławski
10,Myscowa,R,166,-,-,jasielski
11,Orzechowce,R,898,-,-,przemyski
12,"
Pustków-1634/11",R,138,116,-,dębicki
13,Pydych - Babicha,R,25,-,-,mielecki
14,Sieniawa,R,614,614,-,przeworski
15,Sieniawa I,M,-,-,-,przeworski
16,"
Ubieszyn PKL",R,715,-,-,przeworski
17,WyŜne-2,Z,4,-,-,strzyŜowski
18,ołynia-Piasek 3,E,tylko pzb.,384,13,łańcucki
1,Łebieniec II,E,29,-,1,lęborski
1,Suchowola-Kamienna Góra 1,E,1 287,1 287,37,kielecki
2,Szymanówka,Z,611,609,-,opatowski
3,Zawichost-Podgórze,R,120,-,"
-",sandomierski
1,Pawłowo,Z,38,-,-,olsztyński
1,Danowo,E,537,537,13,goleniowski
2,Karwowo,M,-,-,-,policki
