Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Albertów,Z,1 961,-,-,ząbkowicki
2,Bartek,Z,-,-,-,jeleniogórski
3,Budzów,R,421,"
-",-,głogowski
4,Bądzów - zarej.,Z,-,-,-,głogowski
5,Bolków I,T,83,58,-,jaworski
6,Byczeń,Z,1 213,-,-,ząbkowicki
7,Chocianów,Z,274,"
-",-,polkowicki
8,Chwalimierz,E,153,-,3,średzki
9,Chwalimierz II,E,2 735,1 630,9,średzki
10,Czerna,R,1 006,-,-,bolesławiecki
11,Dębno,Z,"
4",-,-,trzebnicki
12,GiŜyn II,Z,106,-,-,górowski
13,Górna Wrończa,Z,"
168",89,-,górowski
14,Górna Wrończa II,Z,52,-,-,górowski
15,Grabowno I,Z,369,-,-,oleśnicki
16,Grodzanów,Z,227,-,-,wołowski
17,Grodzanów (p.),E,"
87",-,1,wołowski
18,Gryfów Śląski,Z,26,-,-,lwówecki
19,Jaśkowice Legnickie,Z,578,-,-,legnicki
20,Jelenia Góra (Ceg.),Z,81,-,-,m.Jelenia Góra
21,Jerzmanki,"
R",1 207,-,-,zgorzelecki
22,Kamienna,Z,257,-,-,zgorzelecki
23,Kamienna Góra,Z,105,-,-,kamiennogórski
24,Kąty Wrocławskie,R,581,-,-,wrocławski
25,"
Kąty Wrocławskie I",E,6 494,1 346,126,wrocławski
26,Kościelnik I,Z,6,-,-,lubański
27,Kościelnik II,E,3,2,0,lubański
28,Kościelnik III,Z,4,-,-,lubański
29,"
Kotla",E,532,-,2,głogowski
30,Krzeszów I,Z,34,-,-,kamiennogórski
31,Kunice I,T,294,294,-,legnicki
32,Kunice I - wschód,E,5 977,2 120,2,legnicki
33,Kunice III,E,10 522,7 285,81,legnicki
34,Legnica-p. Wschodnie,P,727 650,-,-,legnicki
35,"
Leszczyna Kłodzka",E,1 039,234,3,kłodzki
36,Mieroszów,Z,37,-,-,wałbrzyski
37,Miękinia,E,3 025,1 139,34,średzki
39,Olszyna Lubańska,Z,504,-,-,lubański
40,Ołdrzychów,T,335,335,-,".
bolesławiecki"
41,Pawice,R,588,-,-,m.Legnica
42,Pęgów,Z,306,-,-,trzebnicki
43,Pogolewo DuŜe,Z,240,-,"
-",wołowski
44,Pogolewo Małe,Z,681,-,-,wołowski
45,Pogolewo Małe II,E,187,-,3,wołowski
46,Proszówka,R,100,-,-,lwówecki
47,Przedmoście,Z,647,-,-,średzki
48,Radostów Dolny,R,1 415,"
-",-,lubański
49,Ruszowice,Z,358,-,-,głogowski
50,Ruszowice II,T,155,-,-,głogowski
51,Rychlinek,Z,390,-,-,zgorzelecki
52,Słowiany,T,3 254,3 159,-,lubański
53,Słupiec,Z,87,"
-",-,kłodzki
54,Sośnica,E,4 628,492,2,wrocławski
55,Stabłowice,Z,13,-,-,m.Wrocław
56,Stanisz,R,"
47",-,-,m.Jelenia Góra
57,Stawiec,Z,217,-,-,milicki
58,Strzelin,Z,"
2 369",-,-,strzeliński
59,Ścinawka Dolna,Z,460,-,-,kłodzki
60,Ścinawka Średnia,Z,1 759,-,-,kłodzki
61,Trzebnica,Z,173,-,-,trzebnicki
62,Twardogóra,Z,"
99",-,-,oleśnicki
63,Wierzchowice,Z,1 045,-,-,milicki
64,Wilków Wielki,Z,88,-,-,dzierŜoniowski
65,Wolanów,R,427,-,-,zgorzelecki
66,Zachowice,Z,594,-,-,wrocławski
67,Zduny-Cieszków,"
Z",186,-,-,milicki
68,Złotniki,Z,548,-,-,legnicki
69,Złoty Stok,R,820,-,-,ząbkowicki
70,"
śerniki",Z,2 247,-,-,m.Wrocław
71,erniki-Bisek,R,148,-,-,m.Wrocław
1,"
Białe Błota",Z,119,-,-,aleksandrowski
2,Chrusty,R,30,-,-,aleksandrowski
3,Chrząstowo,Z,376,-,-,inowrocławski
4,Elgiszewo,R,229,-,-,golubsko-dobrzyński
5,Elgiszewo XVI,R,1 483,-,-,golubsko-dobrzyński
6,Fordon,Z,245,-,-,m.Bydgoszcz
7,"
Józefowo",R,102,-,-,mogileński
8,Kcynia III,Z,60,-,-,nakielski
9,Kozłowo IV,E,181,181,4,świecki
11,Papowo,Z,771,-,-,toruński
12,Pikutkowo-Smólsk,P,10 448,-,-,".
włocławski"
13,Przechowo,Z,261,-,-,świecki
14,Rudak I,E,1 927,1 927,24,m.Toruń
15,Rudak I-Poligon,Z,393,-,"
-",m.Toruń
16,Rumaki,Z,1 367,-,-,włocławski
17,Stopka I,T,1 362,691,-,bydgoski
18,Stopka II,T,594,594,-,bydgoski
19,Świerkocin,Z,2 074,-,-,grudziądzki
20,Toporzysko,R,5 662,"
-",-,toruński
21,Wapno k/Brodnicy,Z,100,-,-,brodnicki
1,Antoniówka,Z,31,-,-,tomaszowski
2,Baranów I,R,238,"
-",-,puławski
3,Baranów II,R,1 293,-,-,puławski
4,Białopole,Z,tylko pzb.,-,-,chełmski
5,Biskupie,Z,"
59",-,-,lubelski
6,Boby,Z,27,-,-,kraśnicki
7,Bojanówka I,E,"
42",-,3,kraśnicki
8,Bojanówka SW,T,77,-,-,kraśnicki
9,Bojanówka-Dół Kamienny,E,29,-,1,kraśnicki
10,Bojanówka-II,T,104,-,-,kraśnicki
11,Bojanówka-Kamienny Dół II,R,"
88",88,-,kraśnicki
12,Bojanówka-Zachód,T,30,-,-,kraśnicki
13,Borów dz.3651,Z,-,-,-,kraśnicki
14,Borów I,E,11,-,2,kraśnicki
15,Borów II,R,34,-,-,kraśnicki
16,Budy,"
Z",922,-,-,tomaszowski
17,Budy 1,R,89,-,-,tomaszowski
18,Bukowa Wielka,R,617,-,-,chełmski
