Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Andrzej (śarów),Z,tylko pzb.,-,-,świdnicki
2,Antoni (Kalno),R,19 904.00,-,-,świdnicki
3,Dunino,E,477.15,381.19,0.38,legnicki
4,"
Gola",R,1 324.00,-,-,świdnicki
5,Julia (Dzierzków-Roztoka),P,6 900.00,-,-,świdnicki
6,Kazimierz (Godziszówek-T.),P,36 755.00,-,-,świdnicki
7,Maria I (Czerna),Z,9 203.00,-,-,bolesławiecki
8,"
Maria III",E,79 769.55,71 806.55,248.71,bolesławiecki
9,Michał (Dzierzków-Roztoka),P,20 980.00,-,-,świdnicki
10,Monika,P,2 968.00,-,-,strzeliński
11,Stefan (Bolesławice),P,3 641.00,-,-,świdnicki
12,Śmiałowice,R,12 234.00,-,-,świdnicki
13,Zofia (Czerwona Woda),R,14 456.00,-,-,zgorzelecki
14,"
śarów",R,4 298.00,-,-,świdnicki
