Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
ZASOBY OGÓŁEM,17, 646.85,3 243.42,2 403.43,1 100.80,960.00
Razem -,1, 916.12,1 742.65,173.48,4.17,940.67
1. ZłoŜa zakładów czynnych,7, 871.51,1 709.36,162.16,-,902.42
2. ZłoŜa eksploatowane okresowo,,4.61,33.29,11.32,4.17,38.25
Razem -,6, 485.91,1 266.83,2 219.08,1 037.60,0.22
1. ZłoŜa rozpoz. szczegółowo,8, 537.27,1 204.04,333.23,629.42,0.22
2. ZłoŜa rozpoz. wstępnie,8, 948.64,62.79,1 885.85,408.18,-
Eksploatacja zaniechana,0,44.81,"
233.94",10.87,59.02,19.11
3,Chełm I,R,159 167,-,-,chełmski
4,Frampol II,P,97 095,-,-,".
biłgorajski"
5,Nikodemówka,P,91 900,-,-,chełmski
6,Pokrówka,P,267 890,-,-,chełmski
7,Popów,P,63 830,-,"
-","kraśnicki, opolski"
8,Potok,P,166 816,-,-,janowski
9,Rejowiec,E,38 269,3 912,156,chełmski
10,Rejowiec I,R,41 354,-,-,chełmski
11,Trawniki,R,200 832,"
-",-,"krasnostawski,
świdnicki"
12,urawce,P,1 242 804,-,-,tomaszowski
1,Działoszyn-Trębaczew,E,182 580,22 259,1 770,pajęczański
2,Goślub,R,456 118,"
-",-,łęczycki
3,Granice,R,80 861,-,-,radomszczański
4,Granice 1,R,18 391,-,-,radomszczański
5,Kodrąb,R,"
1 222",-,-,radomszczański
6,Kodrąb-Dmenin,P,241 502,-,-,radomszczański
7,Kule,P,92 869,-,-,pajęczański
8,Mariampol-Stok,P,"
209 423",-,-,opoczyński
9,Mariampol-Stok I,R,80 954,-,-,opoczyński
10,Niwiska Górne-Grądy,E,29 835,10 202,703,pajęczański
11,Pajęczno-Makowiska I,R,"
160 729",-,-,pajęczański
12,Sulejów I,R,182 655,-,-,piotrkowski
13,Wielka Wieś,R,92 761,-,-,łaski
14,Wieluń,R,56 937,-,-,wieluński
1,Grzmiączka,R,11 510,-,-,chrzanowski
2,Wolbrom-Zarzecze,P,249 590,-,-,olkuski
1,Bałtów-Tarnówek,R,469 004,-,-,lipski
2,IłŜa-KrzyŜanowice,R,396 632,-,-,radomski
3,"
Kolonia Wierzbica -
Pole B",R,167 239,-,-,radomski
4,Marylin,Z,5 394,-,-,radomski
5,Strzałków,R,166 615,-,-,radomski
6,Wierzbica-Pole A,E,292 980,75 103,10,radomski
1,"
Dobrzeń",R,13 800,-,-,opolski
2,GóraŜdŜe,E,135 024,135 024,1 886,krapkowicki
3,Groszowice II - Wróblin,R,27 269,-,-,m.Opole
5,Opole-Folwark,E,433 362,281 940,1 641,opolski
6,Strzelce Opolskie,E,168 477,163 773,782,".
strzelecki"
7,Strzelce Opolskie I,T,8 634,8 180,-,strzelecki
8,"Tarnów Opolski-
Wschód",R,120 959,-,"
-","krapkowicki,
strzelecki"
1,Płazów,R,228 295,-,-,lubaczowski
1,Cisownica,P,1 685,-,-,cieszyński
2,Góra Siewierska,R,23 100,-,-,będziński
3,Kamyce,R,27 000,-,-,będziński
4,Latosówka-Rudniki II,E,76 499,29 505,312,częstochowski
5,Mstów,R,363 326,"
-",-,częstochowski
6,Niegowonice II,R,158 608,-,-,zawierciański
7,Rudniki-Jaskrów,E,68 821,10 234,184,częstochowski
8,Sadowa Góra II,R,"
21 931",-,-,m.Jaworzno
9,Wiek II,R,39 546,-,-,zawierciański
1,Bratkowszczyzna,P,164 628,-,-,opatowski
2,Brzozowa,R,117 822,-,-,opatowski
3,Bukowa,E,"
31 571",13 333,212,włoszczowski
4,Celiny,M,-,-,-,kielecki
5,Cieśle,P,47 114,-,-,jędrzejowski
6,Dębska Wola,R,31 866,-,-,kielecki
7,Gliniany-Duranów,E,726 068,63 447,3 628,opatowski
8,Gliniany-StróŜa,"
R",28 380,-,-,opatowski
9,Kowala,E,133 504,82 573,1 540,kielecki
10,Krasocin,R,244 746,-,-,włoszczowski
11,"
Leśnica-Małogoszcz",E,267 507,249 515,1 833,jędrzejowski
12,Nida-Lurowizna,R,231 194,-,-,kielecki
13,Ptasznik,Z,1 602,-,-,kielecki
14,"Suchowola-Kamienna
Góra",R,185 567,-,-,kielecki
1,Czarnogłowy-Kłęby,P,154 731,-,-,kamieński
2,Czarnogłów,R,13 291,-,-,goleniowski
1,Duszniki-Zdr.(Kozicowa H.),R,1 126,-,-,kłodzki
2,Gołogłowy,R,263,"
-",-,kłodzki
3,Lutynia,R,86,-,-,kłodzki
4,Niwnice,R,801,-,-,lwówecki
5,Pilchowice,Z,1 313,-,-,lwówecki
6,Połom,E,15 080,15 065,3,złotoryjski
7,Raciborowice,R,627,"
-",-,bolesławiecki
8,Rochowice Nowe,Z,393,-,-,jaworski
9,Silesia,Z,1 423,-,-,złotoryjski
10,Sobocin,T,3 886,2 892,-,jaworski
11,Wojcieszów-Gruszka,Z,"
122",-,-,złotoryjski
12,Wojcieszów-Miłek,Z,8 562,-,-,złotoryjski
1,Dyle Kąty,Z,978,-,-,biłgorajski
2,Kamień,Z,"
509",-,-,lubelski
3,Kłodnica Górna,Z,17,-,-,lubelski
4,Leszczany,R,753,-,-,chełmski
5,Wilkołaz II,R,905,-,-,kraśnicki
6,Zakącie,E,619,-,1,lubelski
1,Bobrowniki,P,15 767,-,-,pajęczański
2,Kodrąb-Dmenin,P,484 549,-,-,radomszczański
3,"
Ktery I,II",R,tylko pzb.,-,-,kutnowski
4,Majaczewice,Z,16,-,-,sieradzki
5,Niwiska Dolne,Z,39,-,-,pajęczański
6,Pajęczno,P,63 741,-,-,pajęczański
7,"
Przedbórz",R,3 120,-,-,radomszczański
8,Sulejów,Z,9 208,8 559,-,piotrkowski
9,Sulejów II,R,51 386,-,-,piotrkowski
10,Wapiennik Lisowice,Z,1 810,-,-,pajęczański
1,"
Czatkowice",E,143 392,32 373,2 011,krakowski
2,Gołcza,Z,106,90,-,miechowski
3,Gołcza-Przy Potoku,Z,957,957,-,miechowski
5,Młoszowa,R,1 269,-,-,chrzanowski
6,Płaza,T,11 654,7 829,17,".
chrzanowski"
7,Płaza Południe,R,38 845,-,-,chrzanowski
8,Wzgórze Św. Piotra,P,11 151,-,-,m.Kraków
1,IłŜa,Z,4 954,9 503,-,radomski
2,IłŜa 1,E,5 769,1 846,28,radomski
3,Marylin I,R,1 270,-,-,szydłowiecki
1,GóraŜdŜe,E,162 697,162 697,1 788,krapkowicki
2,Izbicko II,E,106 201,37 195,758,strzelecki
3,Izbicko-Nakło,P,139 417,-,-,opolski
4,Strzelce Opolskie I,T,17 450,"
15 908",-,strzelecki
5,Strzelce Opolskie II,R,29 722,-,-,strzelecki
6,Tarnów Opolski,E,"
53 613",19 573,1 071,"krapkowicki,
opolski"
7,Tarnów Opolski-Wschód,R,287 702,-,-,"krapkowicki,
strzelecki"
1,Łysaków,Z,16 619,-,-,stalowowolski
2,Niechobrz Górny,R,"
670",-,-,rzeszowski
3,Niechobrz II,R,1 367,-,-,rzeszowski
4,Nowiny Horynieckie,R,10 932,-,-,lubaczowski
5,Olimpów,Z,1 114,-,-,"ropczycko-
sędziszowski"
1,Brudzowice,R,36 811,-,-,będziński
2,Calcium Brynica-Czeladź,Z,1 254,-,-,będziński
3,"
Chełmno",Z,427,-,-,kłobucki
4,Choroń,P,76 605,-,-,myszkowski
5,Kielnik-Olsztyn,Z,320,-,-,częstochowski
6,Kule I,Z,5,-,-,kłobucki
7,"
Michałówek-Łazy",Z,132,-,-,zawierciański
8,Miedźno,P,69 459,-,-,kłobucki
9,Mokre Śląskie,Z,612,-,-,mikołowski
10,Mokre Śląskie - zarej.,Z,2 221,-,-,mikołowski
11,Mykanów,P,42 788,-,-,częstochowski
12,Niegowonice-Rokitno,P,76 100,-,-,zawierciański
13,"
Radonia",R,213,-,-,gliwicki
14,Rudniki II,Z,-,-,-,częstochowski
15,Rudniki-Rędziny,R,69 351,-,-,częstochowski
17,Sosnowiec-Środula I,Z,6 500,-,-,m.Sosnowiec
18,Sosnowiec-Środula II,Z,1 548,-,-,".
m.Sosnowiec"
19,Strzemieszyce,Z,112,-,-,"m.Dąbrowa
Górnicza"
20,Wąsosz,Z,250,-,"
-",kłobucki
21,Zbrosławice,R,71,-,-,tarnogórski
22,uraw,P,138 196,-,-,częstochowski
1,Anna,P,18 544,"
-",-,opatowski
2,Anna 1,E,1 206,-,-,opatowski
3,Bratkowszczyzna,P,51 647,-,-,opatowski
4,Bukowa,E,271 912,145 388,1 546,włoszczowski
5,Chałupki,Z,-,-,-,kielecki
6,Chęciny-Wolica,E,140 068,"
89 237",8,kielecki
7,Drugnia Rządowa 1,E,309,309,17,kielecki
8,Drugnia-Rządowa,R,842,223,-,kielecki
9,Gliniany StróŜa 1,E,"
3 808",-,-,opatowski
10,Gliniany-StróŜa,R,296 118,-,-,opatowski
11,Gnieździska-Góra Lipia,Z,1 086,-,-,kielecki
12,"Gnieździska-Góra
Poddańska",R,"
2 807",-,-,kielecki
13,Goździec,R,75 699,-,-,kielecki
14,Góra Maćkowa,E,"
2 808",417,214,"jędrzejowski,
kielecki"
15,Górki Sowie,R,4 305,-,-,kielecki
16,Janów,Z,31 336,-,-,kielecki
17,Kaczyn-Borków,P,193 391,-,-,kielecki
18,Krasocin,"
R",353 922,-,-,włoszczowski
19,Krasocin I,T,11 619,11 626,-,włoszczowski
20,Księska Góra,Z,636,-,-,kielecki
21,"
Lipa",P,249 167,-,-,jędrzejowski
22,Lipa 1,R,75 953,-,-,jędrzejowski
23,Lipnik,Z,2 122,-,-,ostrowiecki
24,Łagów,R,22 404,-,-,kielecki
25,"
Małogoszcz-Góra KrzyŜowa",Z,3 361,-,-,jędrzejowski
26,Miedzianka,Z,tylko pzb.,-,-,kielecki
27,Moczydło,R,15 136,-,-,kielecki
28,Obice (Dębska Wola),R,782,-,-,kielecki
29,Ołowianka-1,Z,58 071,-,-,kielecki
30,Ostrówka i Ołowianka,E,269 631,114 290,5 235,kielecki
31,OŜarów,Z,-,-,-,opatowski
32,"
Piórków Zajasienie",R,110,-,-,opatowski
33,Potok Rządowy,P,1 365,-,-,staszowski
35,Siedlce,R,1 000,-,-,kielecki
36,Sobiekurów,P,74 390,-,-,".
opatowski"
37,Sobków 84,Z,82 443,-,-,jędrzejowski
38,Sokołów - Kolonia,R,6 801,-,-,jędrzejowski
39,Sokołów Górny,R,54 455,-,"
-",jędrzejowski
40,Tokarnia-Sierpka,Z,4 236,-,-,kielecki
41,Trzuskawica,E,642 434,255 647,3 364,kielecki
42,Wierzbica,E,50 818,27 401,599,jędrzejowski
43,Wierzbie,E,1 149,981,66,kielecki
44,Wymysłów (Stawiany),P,242 365,"
-",-,pińczowski
